Sex,Marital Status,Race,Native Country,Industry,Occupation,Education Enrollment,FT/PT Enrollment,Education Level Attained,Household Member Status,Weekly Earnings,Weekly Earnings Categories,PWSSWGT
Female,Married - spouse present,White only,United States,State government,Food preparation and serving related occupations,Not enrolled,,11th grade,Adult civilian household member,344.0,250-499,3975.9224
Male,Married - spouse present,White only,United States,Private nonprofit,Protective service occupations,,,"Some college, no degree",Adult civilian household member,1270.0,1250-1499,404.8551
Female,Married - spouse present,White only,United States,State government,Healthcare practitioner and technical occupations,,,Associate degree - academic,Adult civilian household member,1200.0,1000-1249,464.1644
Male,Married - spouse present,White only,United States,State government,Computer and mathematical occupations,Not enrolled,,Master's degree,Adult civilian household member,2500.0,2000+,4612.8274
Male,Married - spouse present,White only,United States,Private for-profit,Protective service occupations,,,Associate degree - academic,Adult civilian household member,1500.0,1500-1999,1151.3693
Male,Never married,Black only,United States,State government,Production occupations,Not enrolled,,"Some college, no degree",Adult civilian household member,1410.0,1250-1499,4828.6949
Male,Divorced,White only,United States,State government,Sales and related occupations,,,"Some college, no degree",Adult civilian household member,674.0,500-749,4286.9185
Male,Married - spouse present,White only,United States,State government,Management occupations,,,Master's degree,Adult civilian household member,1940.0,1500-1999,5463.2857
Male,Married - spouse present,Black only,United States,State government,Production occupations,Not enrolled,,High school graduate,Adult civilian household member,600.0,500-749,4934.8867
Male,Never married,Asian only,,State government,Computer and mathematical occupations,Not enrolled,,Master's degree,Adult civilian household member,1500.0,1500-1999,546.3888
Male,Divorced,Black only,United States,Federal government,Education instruction and library occupations,Not enrolled,,Doctorate degree,Adult civilian household member,1210.0,1000-1249,8229.2879
Female,Divorced,Black only,United States,State government,Healthcare practitioner and technical occupations,Enrolled,Part time,Doctorate degree,Adult civilian household member,1058.0,1000-1249,8895.4231
Male,Married - spouse present,White-HP,United States,Local government,Protective service occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,2700.0,2000+,6011.6786
Female,Married - spouse present,White only,United States,State government,Sales and related occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,2120.0,2000+,4318.8099
Female,Never married,White only,United States,State government,Sales and related occupations,Enrolled,Full time,10th grade,Adult civilian household member,100.0,<250,4484.719
Male,Never married,Asian only,,State government,Food preparation and serving related occupations,Not enrolled,,High school graduate,Adult civilian household member,1200.0,1000-1249,3741.7789
Male,Never married,American Indian or Alaskan Native only,United States,State government,Sales and related occupations,Not enrolled,,High school graduate,Adult civilian household member,576.0,500-749,716.8727
Male,Married - spouse present,White only,United States,State government,Production occupations,,,High school graduate,Adult civilian household member,1310.0,1250-1499,4300.4433
Female,Married - spouse present,White only,United States,State government,Production occupations,Not enrolled,,High school graduate,Adult civilian household member,576.0,500-749,3491.4248
Female,Never married,White only,United States,State government,Production occupations,Not enrolled,,High school graduate,Adult civilian household member,480.0,250-499,4374.3903
Male,Married - spouse present,White only,United States,State government,Management occupations,Not enrolled,,High school graduate,Adult civilian household member,2260.0,2000+,776.8397
Female,Married - spouse present,White only,United States,State government,Business and financial operations occupations,Not enrolled,,High school graduate,Adult civilian household member,276.0,250-499,759.1911
Male,Never married,White only,United States,State government,Production occupations,Enrolled,Full time,10th grade,Adult civilian household member,308.0,250-499,1141.3052
Female,Never married,White only,United States,State government,Management occupations,Not enrolled,,"Some college, no degree",Adult civilian household member,300.0,250-499,894.1791
Male,Married - spouse present,White only,United States,State government,Business and financial operations occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,1850.0,1500-1999,1342.0173
Female,Married - spouse present,White only,United States,State government,Management occupations,Not enrolled,,Doctorate degree,Adult civilian household member,2000.0,2000+,1090.8146
Female,Married - spouse present,White only,United States,Federal government,Healthcare practitioner and technical occupations,Not enrolled,,"Some college, no degree",Adult civilian household member,824.0,750-999,4271.2253
Male,Married - spouse present,American Indian or Alaskan Native only,United States,Private nonprofit,Office and administrative support occupations,Not enrolled,,Associate degree - academic,Adult civilian household member,1470.0,1250-1499,4967.8378
Female,Married - spouse present,White only,United States,State government,Healthcare support occupations,,,High school graduate,Adult civilian household member,350.0,250-499,805.9019
Female,Never married,White only,United States,State government,Production occupations,Not enrolled,,High school graduate,Adult civilian household member,840.0,750-999,2362.4363
Male,Never married,White only,United States,State government,Food preparation and serving related occupations,Enrolled,Full time,9th grade,Adult civilian household member,40.0,<250,2979.9009
Female,Married - spouse present,White only,United States,State government,Production occupations,Not enrolled,,11th grade,Adult civilian household member,824.0,750-999,1232.0334
Male,Married - spouse present,White only,United States,State government,"Farming, fishing, and forestry occupations",Not enrolled,,High school graduate,Adult civilian household member,760.0,750-999,1280.4233
Male,Married - spouse present,White only,United States,State government,Management occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,2260.0,2000+,459.5834
Male,Never married,White only,United States,State government,Computer and mathematical occupations,Not enrolled,,Master's degree,Adult civilian household member,2880.0,2000+,5703.6585
Male,Never married,White only,United States,State government,"Arts, design, entertainment, sports, and media occupations",Not enrolled,,Bachelor's degree,Adult civilian household member,1440.0,1250-1499,5441.8798
Male,Married - spouse present,White only,United States,State government,Business and financial operations occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,1920.0,1500-1999,1538.0004
Female,Married - spouse present,White only,United States,State government,Management occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,1540.0,1500-1999,1621.229
Male,Never married,White only,United States,State government,Transportation and material moving occupations,Enrolled,Full time,Associate degree - academic,Adult civilian household member,300.0,250-499,1785.0981
Male,Never married,White only,United States,State government,Transportation and material moving occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,896.0,750-999,1785.0981
Female,Never married,White only,United States,State government,Management occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,1770.0,1500-1999,5855.0919
Male,Never married,White only,United States,State government,Production occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,2100.0,2000+,5913.0471
Female,Married - spouse present,White only,,State government,Transportation and material moving occupations,Not enrolled,,High school graduate,Adult civilian household member,276.0,250-499,4213.4157
Male,Never married,White only,United States,State government,"Arts, design, entertainment, sports, and media occupations",,,7th-8th grade,Adult civilian household member,304.0,250-499,3986.3391
Female,Never married,Black only,United States,State government,Sales and related occupations,Not enrolled,,"Some college, no degree",Adult civilian household member,1166.0,1000-1249,958.7933
Male,Married - spouse present,White only,,State government,Building and grounds cleaning and maintenance occupations,,,1st-4th grade,Adult civilian household member,416.0,250-499,338.1878
Female,Never married,White only,,State government,Building and grounds cleaning and maintenance occupations,,,7th-8th grade,Adult civilian household member,286.0,250-499,329.6775
Male,Married - spouse present,Black only,United States,State government,"Arts, design, entertainment, sports, and media occupations",Enrolled,Part time,Bachelor's degree,Adult civilian household member,3000.0,2000+,1201.5077
Female,Married - spouse present,Black only,United States,State government,Education instruction and library occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,1078.0,1000-1249,958.77
Female,Married - spouse present,Black only,United States,State government,Healthcare practitioner and technical occupations,Not enrolled,,Master's degree,Adult civilian household member,2500.0,2000+,3336.5905
Female,Never married,White only,United States,State government,Sales and related occupations,Not enrolled,,Associate degree - academic,Adult civilian household member,924.0,750-999,2296.5617
Female,Never married,White only,United States,State government,Sales and related occupations,Not enrolled,,High school graduate,Adult civilian household member,924.0,750-999,2296.5617
Male,Never married,White only,United States,State government,Office and administrative support occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,2880.0,2000+,2245.1636
Male,Married - spouse present,White only,United States,Local government,Protective service occupations,,,"Some college, no degree",Adult civilian household member,3460.0,2000+,1665.9564
Male,Married - spouse present,White only,,State government,Architecture and engineering occupations,Not enrolled,,Master's degree,Adult civilian household member,1610.0,1500-1999,3760.2159
Female,Never married,White only,United States,Local government,Office and administrative support occupations,Not enrolled,,High school graduate,Adult civilian household member,946.0,750-999,1184.0492
Male,Never married,White only,United States,State government,Management occupations,Not enrolled,,High school graduate,Adult civilian household member,962.0,750-999,1067.9728
Female,Divorced,Black only,United States,State government,Business and financial operations occupations,Not enrolled,,Master's degree,Adult civilian household member,1630.0,1500-1999,6929.1387
Male,Married - spouse present,White only,United States,Local government,Construction and extraction occupations,,,High school graduate,Adult civilian household member,1720.0,1500-1999,4228.7993
Female,Married - spouse present,White only,United States,State government,Healthcare practitioner and technical occupations,Not enrolled,,High school graduate,Adult civilian household member,770.0,750-999,3642.937
Female,Never married,White only,United States,State government,Healthcare support occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,480.0,250-499,6407.0867
Female,Never married,White only,United States,State government,Healthcare practitioner and technical occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,400.0,250-499,6407.0867
Male,Married - spouse present,White only,United States,State government,Construction and extraction occupations,Not enrolled,,"Some college, no degree",Adult civilian household member,2880.0,2000+,525.2922
Male,Married - spouse present,White only,United States,State government,Production occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,2600.0,2000+,4479.3394
Male,Married - spouse present,White only,,State government,Office and administrative support occupations,,,High school graduate,Adult civilian household member,150.0,<250,3848.6236
Male,Married - spouse present,White only,United States,State government,Business and financial operations occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,2120.0,2000+,1312.3378
Female,Married - spouse present,White only,United States,State government,Education instruction and library occupations,Not enrolled,,Associate degree - academic,Adult civilian household member,1920.0,1500-1999,1339.2135
Female,Never married,White only,United States,State government,Management occupations,Not enrolled,,High school graduate,Adult civilian household member,544.0,500-749,1408.5912
Female,Married - spouse present,White only,United States,Federal government,Management occupations,Not enrolled,,Doctorate degree,Adult civilian household member,770.0,750-999,771.3673
Male,Married - spouse present,White only,United States,Private for-profit,Office and administrative support occupations,,,Bachelor's degree,Adult civilian household member,1920.0,1500-1999,717.9142
Male,Married - spouse present,White only,United States,State government,Production occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,2880.0,2000+,4676.3322
Female,Divorced,White only,,State government,Management occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,1200.0,1000-1249,3661.4039
Female,Never married,White only,United States,State government,Office and administrative support occupations,Enrolled,Full time,Associate degree - academic,Adult civilian household member,118.0,<250,4276.9448
Male,Never married,Black only,,Federal government,Transportation and material moving occupations,Not enrolled,,"Some college, no degree",Adult civilian household member,1500.0,1500-1999,6508.6364
Male,Married - spouse present,White only,United States,State government,"Installation, maintenance, and repair occupations",Not enrolled,,Associate degree - academic,Adult civilian household member,1750.0,1500-1999,4063.8116
Female,Married - spouse present,White only,United States,State government,Healthcare practitioner and technical occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,2000.0,2000+,4849.4805
Male,Never married,White-AI,United States,State government,Production occupations,Not enrolled,,High school graduate,Adult civilian household member,776.0,750-999,13672.5856
Female,Never married,White only,United States,State government,Sales and related occupations,Not enrolled,,High school graduate,Adult civilian household member,924.0,750-999,386.2715
Female,Divorced,White only,United States,State government,Healthcare support occupations,,,High school graduate,Adult civilian household member,360.0,250-499,1402.0332
Female,Widowed,White only,United States,State government,Healthcare support occupations,Not enrolled,,High school graduate,Adult civilian household member,770.0,750-999,1545.1867
Female,Married - spouse present,White only,United States,State government,Office and administrative support occupations,Not enrolled,,Master's degree,Adult civilian household member,674.0,500-749,4715.0163
Female,Married - spouse present,White-AI,United States,State government,Sales and related occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,866.0,750-999,4721.0758
Male,Divorced,White only,United States,State government,Building and grounds cleaning and maintenance occupations,Not enrolled,,"Some college, no degree",Adult civilian household member,960.0,750-999,1624.2243
Male,Married - spouse present,White only,United States,State government,Food preparation and serving related occupations,Not enrolled,,"Some college, no degree",Adult civilian household member,766.0,750-999,2389.3032
Female,Married - spouse present,White only,United States,State government,Sales and related occupations,Not enrolled,,"Some college, no degree",Adult civilian household member,538.0,500-749,3626.1697
Female,Widowed,White only,United States,State government,Office and administrative support occupations,,,High school graduate,Adult civilian household member,1000.0,1000-1249,3549.5014
Female,Never married,White only,United States,State government,Office and administrative support occupations,Enrolled,Full time,"Some college, no degree",Adult civilian household member,250.0,250-499,4842.9768
Female,Married - spouse present,White only,United States,Local government,Community and social service occupations,Not enrolled,,Master's degree,Adult civilian household member,1400.0,1250-1499,4669.9726
Male,Married - spouse present,White only,United States,State government,Computer and mathematical occupations,Not enrolled,,Doctorate degree,Adult civilian household member,2500.0,2000+,4575.2233
Female,Married - spouse present,White only,United States,Private nonprofit,Education instruction and library occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,480.0,250-499,5274.905
Male,Married - spouse present,White only,United States,Private for-profit,Healthcare practitioner and technical occupations,Not enrolled,,Professional degree,Adult civilian household member,8115.06,2000+,4102.09
Female,Married - spouse present,Asian only,,State government,Healthcare practitioner and technical occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,962.0,750-999,3145.4324
Female,Married - spouse present,American Indian or Alaskan Native only,United States,State government,Healthcare practitioner and technical occupations,Not enrolled,,11th grade,Adult civilian household member,750.0,750-999,6659.7049
Female,Never married,American Indian or Alaskan Native only,United States,State government,Personal care and service occupations,Not enrolled,,High school graduate,Adult civilian household member,330.0,250-499,11303.1996
Male,Never married,American Indian or Alaskan Native only,United States,State government,Sales and related occupations,Not enrolled,,High school graduate,Adult civilian household member,140.0,<250,12255.7484
Male,Never married,White only,United States,State government,Architecture and engineering occupations,Not enrolled,,Associate degree - academic,Adult civilian household member,998.0,750-999,6054.7829
Male,Married - spouse present,White only,United States,State government,Computer and mathematical occupations,Not enrolled,,High school graduate,Adult civilian household member,850.0,750-999,4941.184
Female,Married - spouse present,White only,United States,Private for-profit,Office and administrative support occupations,Not enrolled,,High school graduate,Adult civilian household member,770.0,750-999,4875.7872
Female,Married - spouse present,White only,United States,State government,Personal care and service occupations,,,High school graduate,Adult civilian household member,1500.0,1500-1999,3853.4965
Male,Married - spouse present,White only,United States,State government,Sales and related occupations,,,Bachelor's degree,Adult civilian household member,1920.0,1500-1999,3599.5733
Male,Married - spouse present,White only,United States,Federal government,Personal care and service occupations,,,Bachelor's degree,Adult civilian household member,1320.0,1250-1499,5450.9463
Male,Married - spouse present,White only,United States,Private for-profit,Office and administrative support occupations,,,Bachelor's degree,Adult civilian household member,1600.0,1500-1999,5805.4326
Male,Separated,White only,United States,State government,"Installation, maintenance, and repair occupations",,,High school graduate,Adult civilian household member,1310.0,1250-1499,1440.0343
Male,Never married,White only,United States,State government,Transportation and material moving occupations,Not enrolled,,"Some college, no degree",Adult civilian household member,736.0,500-749,1815.1312
Female,Never married,White only,United States,State government,Sales and related occupations,Not enrolled,,"Some college, no degree",Adult civilian household member,578.0,500-749,2352.0906
Male,Never married,White only,United States,State government,Transportation and material moving occupations,Not enrolled,,High school graduate,Adult civilian household member,880.0,750-999,1635.4707
Female,Never married,White only,United States,State government,Transportation and material moving occupations,Not enrolled,,High school graduate,Adult civilian household member,400.0,250-499,1751.4492
Male,Married - spouse present,White only,,State government,"Installation, maintenance, and repair occupations",Not enrolled,,High school graduate,Adult civilian household member,720.0,500-749,1333.6524
Female,Never married,White only,,State government,Food preparation and serving related occupations,Enrolled,Part time,11th grade,Adult civilian household member,456.0,250-499,1154.839
Female,Married - spouse present,White only,United States,State government,Food preparation and serving related occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,104.0,<250,7057.7947
Male,Married - spouse present,Black only,United States,State government,Business and financial operations occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,1000.0,1000-1249,9993.826
Female,Widowed,Black only,United States,State government,Management occupations,Not enrolled,,High school graduate,Adult civilian household member,834.0,750-999,7918.4367
Female,Never married,White only,United States,State government,Healthcare practitioner and technical occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,1640.0,1500-1999,3157.2378
Male,Married - spouse present,White only,,State government,"Installation, maintenance, and repair occupations",,,11th grade,Adult civilian household member,800.0,750-999,3813.3312
Male,Married - spouse present,White only,United States,Federal government,Community and social service occupations,Not enrolled,,Master's degree,Adult civilian household member,1000.0,1000-1249,527.7306
Female,Divorced,White only,United States,Private nonprofit,Management occupations,,,Bachelor's degree,Adult civilian household member,494.0,250-499,2476.9964
Female,Never married,White only,United States,Private nonprofit,Office and administrative support occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,1290.0,1250-1499,549.16
Male,Married - spouse present,Black only,United States,State government,Sales and related occupations,Not enrolled,,Associate degree - occupational,Adult civilian household member,880.0,750-999,9791.7394
Female,Married - spouse present,Black only,United States,State government,Community and social service occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,1250.0,1250-1499,6877.1287
Male,Married - spouse present,White only,United States,State government,Sales and related occupations,Not enrolled,,High school graduate,Adult civilian household member,1870.0,1500-1999,1230.3697
Female,Married - spouse present,White only,United States,State government,Healthcare support occupations,Not enrolled,,"Some college, no degree",Adult civilian household member,650.0,500-749,1226.9518
Female,Never married,White only,United States,Federal government,Healthcare practitioner and technical occupations,Not enrolled,,Associate degree - occupational,Adult civilian household member,1380.0,1250-1499,750.0197
Male,Never married,White only,United States,State government,Food preparation and serving related occupations,Not enrolled,,High school graduate,Adult civilian household member,330.0,250-499,1066.3637
Male,Married - spouse present,White only,,State government,"Installation, maintenance, and repair occupations",Enrolled,Part time,Associate degree - academic,Adult civilian household member,1400.0,1250-1499,4742.7686
Female,Married - spouse present,White only,United States,State government,Healthcare practitioner and technical occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,1580.0,1500-1999,3922.617
Female,Married - spouse present,White only,United States,Federal government,Education instruction and library occupations,,,Bachelor's degree,Adult civilian household member,176.0,<250,3551.6811
Female,Never married,White only,United States,State government,Sales and related occupations,Not enrolled,,High school graduate,Adult civilian household member,162.0,<250,5664.8234
Female,Never married,White only,United States,State government,Sales and related occupations,Not enrolled,,High school graduate,Adult civilian household member,210.0,<250,5664.8234
Male,Married - spouse present,Black only,,State government,Building and grounds cleaning and maintenance occupations,Not enrolled,,Master's degree,Adult civilian household member,1174.0,1000-1249,8459.3074
Female,Married - spouse present,Black only,,Private for-profit,Office and administrative support occupations,Not enrolled,,High school graduate,Adult civilian household member,500.0,500-749,7489.791
Female,Never married,Asian only,United States,State government,Office and administrative support occupations,Enrolled,Full time,Bachelor's degree,Adult civilian household member,220.0,<250,3942.4835
Female,Never married,White only,United States,State government,Healthcare practitioner and technical occupations,Not enrolled,,Doctorate degree,Adult civilian household member,1440.0,1250-1499,4188.7193
Male,Never married,White only,United States,Private for-profit,Architecture and engineering occupations,Not enrolled,,Master's degree,Adult civilian household member,924.0,750-999,379.3316
Male,Married - spouse present,White only,,Private for-profit,Construction and extraction occupations,Not enrolled,,Associate degree - academic,Adult civilian household member,1320.0,1250-1499,1587.1886
Female,Married - spouse present,White only,United States,State government,Management occupations,Enrolled,Full time,Bachelor's degree,Adult civilian household member,1400.0,1250-1499,6441.8429
Male,Married - spouse present,White only,United States,State government,Management occupations,,,Bachelor's degree,Adult civilian household member,8115.06,2000+,4132.2307
Male,Married - spouse present,Asian only,United States,State government,Food preparation and serving related occupations,Not enrolled,,High school graduate,Adult civilian household member,430.0,250-499,2993.2053
Male,Married - spouse present,White only,United States,Private nonprofit,Building and grounds cleaning and maintenance occupations,Not enrolled,,Associate degree - occupational,Adult civilian household member,684.0,500-749,4205.7426
Male,Never married,White only,United States,State government,Management occupations,Not enrolled,,High school graduate,Adult civilian household member,1440.0,1250-1499,4587.6846
Female,Never married,Asian only,United States,State government,Computer and mathematical occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,1250.0,1250-1499,4281.562
Male,Never married,White-Black,United States,State government,Production occupations,Not enrolled,,High school graduate,Adult civilian household member,964.0,750-999,10135.9309
Male,Never married,White only,United States,State government,Construction and extraction occupations,Not enrolled,,Associate degree - academic,Adult civilian household member,920.0,750-999,2447.3242
Female,Married - spouse present,White only,United States,State government,Office and administrative support occupations,Not enrolled,,"Some college, no degree",Adult civilian household member,780.0,750-999,2593.4868
Male,Married - spouse present,White only,,State government,Transportation and material moving occupations,Not enrolled,,"Some college, no degree",Adult civilian household member,1154.0,1000-1249,1875.9735
Female,Divorced,White only,United States,State government,Construction and extraction occupations,Not enrolled,,Associate degree - occupational,Adult civilian household member,580.0,500-749,1961.1654
Female,Divorced,W-B-A,United States,State government,Healthcare support occupations,,,High school graduate,Adult civilian household member,900.0,750-999,6005.7886
Male,Married - spouse present,Black only,,State government,Sales and related occupations,Not enrolled,,Associate degree - academic,Adult civilian household member,910.0,750-999,3699.3855
Female,Married - spouse present,Black only,,State government,Office and administrative support occupations,Enrolled,Full time,Associate degree - academic,Adult civilian household member,766.0,750-999,3344.0823
Male,Married - spouse present,White only,United States,State government,Computer and mathematical occupations,,,Bachelor's degree,Adult civilian household member,8115.06,2000+,6367.9016
Male,Never married,White only,United States,State government,Transportation and material moving occupations,Not enrolled,,High school graduate,Adult civilian household member,770.0,750-999,5961.1037
Female,Married - spouse present,Asian only,,Federal government,Healthcare practitioner and technical occupations,Not enrolled,,Associate degree - academic,Adult civilian household member,1154.0,1000-1249,736.7453
Female,Never married,Asian only,United States,State government,Food preparation and serving related occupations,Enrolled,Part time,"Some college, no degree",Adult civilian household member,600.0,500-749,872.6268
Female,Never married,Asian only,United States,State government,Office and administrative support occupations,Enrolled,Full time,"Some college, no degree",Adult civilian household member,160.0,<250,872.6268
Male,Married - spouse present,Asian only,,State government,Management occupations,,,Master's degree,Adult civilian household member,3840.0,2000+,605.6961
Male,Married - spouse present,White only,United States,State government,Management occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,3800.0,2000+,1032.8044
Female,Married - spouse present,White only,United States,State government,"Life, physical, and social science occupations",Not enrolled,,Master's degree,Adult civilian household member,1410.0,1250-1499,925.803
Female,Never married,Black only,United States,Federal government,Education instruction and library occupations,Not enrolled,,Associate degree - academic,Adult civilian household member,520.0,500-749,2259.4558
Male,Never married,White only,United States,State government,Food preparation and serving related occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,420.0,250-499,6279.6525
Male,Never married,White only,United States,State government,Sales and related occupations,Not enrolled,,High school graduate,Adult civilian household member,562.0,500-749,4504.1194
Male,Never married,White only,United States,State government,Management occupations,Not enrolled,,High school graduate,Adult civilian household member,650.0,500-749,2439.8833
Male,Never married,Black only,United States,State government,Healthcare practitioner and technical occupations,Enrolled,Part time,"Some college, no degree",Adult civilian household member,692.0,500-749,9716.3762
Female,Never married,White only,United States,Federal government,Healthcare practitioner and technical occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,1480.0,1250-1499,3442.8738
Female,Married - spouse present,W-B-AI,United States,Private nonprofit,Education instruction and library occupations,Not enrolled,,Master's degree,Adult civilian household member,2220.0,2000+,9036.6564
Male,Married - spouse present,White only,United States,State government,Management occupations,Not enrolled,,High school graduate,Adult civilian household member,1800.0,1500-1999,5236.9114
Male,Married - spouse present,Asian only,,State government,Education instruction and library occupations,,,Doctorate degree,Adult civilian household member,8115.06,2000+,4126.5037
Female,Never married,White only,United States,State government,Business and financial operations occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,1900.0,1500-1999,3309.4211
Female,Never married,White only,United States,State government,Transportation and material moving occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,958.0,750-999,3309.4211
Male,Married - spouse present,Asian only,,State government,Architecture and engineering occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,1920.0,1500-1999,1292.1719
Male,Divorced,American Indian or Alaskan Native only,United States,State government,Food preparation and serving related occupations,,,High school graduate,Adult civilian household member,1540.0,1500-1999,1951.4583
Female,Never married,White only,United States,State government,Legal occupations,Not enrolled,,High school graduate,Adult civilian household member,1154.0,1000-1249,7100.0757
Male,Married - spouse present,White only,United States,Federal government,Community and social service occupations,,,Master's degree,Adult civilian household member,1610.0,1500-1999,387.997
Female,Divorced,White only,United States,State government,Office and administrative support occupations,Not enrolled,,Master's degree,Adult civilian household member,2180.0,2000+,393.9999
Female,Never married,White only,United States,Private nonprofit,Management occupations,Not enrolled,,Master's degree,Adult civilian household member,2300.0,2000+,1659.1782
Male,Married - spouse present,White-AI,United States,Private for-profit,Office and administrative support occupations,Not enrolled,,"Some college, no degree",Adult civilian household member,1250.0,1250-1499,2946.1411
Female,Married - spouse present,White-AI,,Private nonprofit,Office and administrative support occupations,Enrolled,Part time,Bachelor's degree,Adult civilian household member,1600.0,1500-1999,3206.3949
Female,Married - spouse present,Asian only,,State government,Food preparation and serving related occupations,Not enrolled,,High school graduate,Adult civilian household member,116.0,<250,725.2132
Male,Married - spouse present,Asian only,,State government,Food preparation and serving related occupations,Not enrolled,,High school graduate,Adult civilian household member,116.0,<250,644.2941
Male,Married - spouse present,Black only,United States,State government,Food preparation and serving related occupations,Not enrolled,,High school graduate,Adult civilian household member,560.0,500-749,9596.0473
Female,Married - spouse present,Black only,United States,State government,Office and administrative support occupations,Not enrolled,,High school graduate,Adult civilian household member,1154.0,1000-1249,8423.2889
Male,Married - spouse present,White only,United States,State government,"Installation, maintenance, and repair occupations",Not enrolled,,Associate degree - academic,Adult civilian household member,1000.0,1000-1249,1853.695
Female,Married - spouse present,White only,United States,Private nonprofit,Education instruction and library occupations,Not enrolled,,Master's degree,Adult civilian household member,1310.0,1250-1499,2020.3875
Male,Never married,White only,United States,State government,Management occupations,Not enrolled,,"Some college, no degree",Adult civilian household member,600.0,500-749,1806.223
Male,Never married,Asian only,United States,Private for-profit,Computer and mathematical occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,2980.0,2000+,535.2662
Male,Never married,White only,United States,State government,"Installation, maintenance, and repair occupations",Not enrolled,,High school graduate,Adult civilian household member,1540.0,1500-1999,1107.0372
Female,Married - spouse present,White only,,Local government,Office and administrative support occupations,,,High school graduate,Adult civilian household member,1230.0,1000-1249,2389.0078
Male,Never married,White only,United States,State government,Office and administrative support occupations,Not enrolled,,High school graduate,Adult civilian household member,180.0,<250,5046.5445
Male,Married - spouse present,White only,,Private nonprofit,Education instruction and library occupations,,,Master's degree,Adult civilian household member,2500.0,2000+,5785.4922
Male,Never married,White only,United States,State government,Food preparation and serving related occupations,Not enrolled,,"12th grade, no diploma",Adult civilian household member,320.0,250-499,5192.9681
Male,Married - spouse present,White only,United States,State government,Architecture and engineering occupations,,,Bachelor's degree,Adult civilian household member,2300.0,2000+,4444.3149
Female,Married - spouse present,White only,United States,State government,Office and administrative support occupations,,,"Some college, no degree",Adult civilian household member,324.0,250-499,3789.9304
Male,Married - spouse present,White only,United States,State government,"Installation, maintenance, and repair occupations",,,Bachelor's degree,Adult civilian household member,166.0,<250,1536.2571
Female,Married - spouse present,White only,United States,State government,Office and administrative support occupations,,,Bachelor's degree,Adult civilian household member,1250.0,1250-1499,1474.9179
Male,Never married,White only,United States,State government,Management occupations,Not enrolled,,High school graduate,Adult civilian household member,672.0,500-749,6786.369
Female,Divorced,White only,United States,Federal government,Community and social service occupations,Enrolled,Full time,Bachelor's degree,Adult civilian household member,160.0,<250,2169.5537
Female,Never married,White only,,Local government,Management occupations,Not enrolled,,Master's degree,Adult civilian household member,1960.0,1500-1999,4836.0422
Male,Never married,White only,United States,State government,Education instruction and library occupations,Not enrolled,,Master's degree,Adult civilian household member,1620.0,1500-1999,5968.8165
Female,Married - spouse present,White only,United States,State government,Transportation and material moving occupations,,,"Some college, no degree",Adult civilian household member,230.0,<250,1683.0876
Male,Married - spouse present,White only,United States,Federal government,Community and social service occupations,Enrolled,Part time,Bachelor's degree,Adult civilian household member,1192.0,1000-1249,1925.317
Male,Married - spouse present,White only,,State government,Food preparation and serving related occupations,,,Bachelor's degree,Adult civilian household member,1250.0,1250-1499,4044.6773
Female,Never married,White only,United States,State government,Office and administrative support occupations,Enrolled,Part time,"Some college, no degree",Adult civilian household member,1000.0,1000-1249,5179.8154
Male,Married - spouse present,White only,,State government,Architecture and engineering occupations,Not enrolled,,Master's degree,Adult civilian household member,1850.0,1500-1999,4678.9715
